Individual_number,Species,Locality,Data,Year,Month,Total_length_mm,Weight_g,Sampling_site,Lat,Long,Protective_regime,Proximity_human_settlements,
181,Phorcus sauciatus,Canary Island,20/06/2017,2017,6,12.49,0.62,Gran Canaria,"28°01'54.0""N ","15°23'43.3""W",Full access,Far,
182,Phorcus sauciatus,Canary Island,20/06/2017,2017,6,18.37,1.79,Gran Canaria,"28°01'54.0""N ","15°23'43.3""W",Full access,Far,
183,Phorcus sauciatus,Canary Island,20/06/2017,2017,6,21.69,2.95,Gran Canaria,"28°01'54.0""N ","15°23'43.3""W",Full access,Far,
184,Phorcus sauciatus,Canary Island,20/06/2017,2017,6,20.72,2.76,Gran Canaria,"28°01'54.0""N ","15°23'43.3""W",Full access,Far,
185,Phorcus sauciatus,Canary Island,20/06/2017,2017,6,19.82,2.64,Gran Canaria,"28°01'54.0""N ","15°23'43.3""W",Full access,Far,
186,Phorcus sauciatus,Canary Island,20/06/2017,2017,6,10.94,0.36,Gran Canaria,"28°01'54.0""N ","15°23'43.3""W",Full access,Far,
187,Phorcus sauciatus,Canary Island,20/06/2017,2017,6,18.3,1.92,Gran Canaria,"28°01'54.0""N ","15°23'43.3""W",Full access,Far,
188,Phorcus sauciatus,Canary Island,20/06/2017,2017,6,20.96,2.51,Gran Canaria,"28°01'54.0""N ","15°23'43.3""W",Full access,Far,
189,Phorcus sauciatus,Canary Island,20/06/2017,2017,6,16.03,1.24,Gran Canaria,"28°01'54.0""N ","15°23'43.3""W",Full access,Far,
190,Phorcus sauciatus,Canary Island,20/06/2017,2017,6,19.9,2.36,Gran Canaria,"28°01'54.0""N ","15°23'43.3""W",Full access,Far,
191,Phorcus sauciatus,Canary Island,20/06/2017,2017,6,18.2,1.88,Gran Canaria,"28°01'54.0""N ","15°23'43.3""W",Full access,Far,
192,Phorcus sauciatus,Canary Island,20/06/2017,2017,6,16.33,1.18,Gran Canaria,"28°01'54.0""N ","15°23'43.3""W",Full access,Far,
193,Phorcus sauciatus,Canary Island,20/06/2017,2017,6,16.9,1.69,Gran Canaria,"28°01'54.0""N ","15°23'43.3""W",Full access,Far,
194,Phorcus sauciatus,Canary Island,20/06/2017,2017,6,19.34,2.31,Gran Canaria,"28°01'54.0""N ","15°23'43.3""W",Full access,Far,
195,Phorcus sauciatus,Canary Island,20/06/2017,2017,6,16.43,1.24,Gran Canaria,"28°01'54.0""N ","15°23'43.3""W",Full access,Far,
196,Phorcus sauciatus,Canary Island,20/06/2017,2017,6,17.04,1.42,Gran Canaria,"28°01'54.0""N ","15°23'43.3""W",Full access,Far,
197,Phorcus sauciatus,Canary Island,20/06/2017,2017,6,17.71,1.77,Gran Canaria,"28°01'54.0""N ","15°23'43.3""W",Full access,Far,
198,Phorcus sauciatus,Canary Island,20/06/2017,2017,6,16.75,1.3,Gran Canaria,"28°01'54.0""N ","15°23'43.3""W",Full access,Far,
199,Phorcus sauciatus,Canary Island,20/06/2017,2017,6,12.5,0.56,Gran Canaria,"28°01'54.0""N ","15°23'43.3""W",Full access,Far,
200,Phorcus sauciatus,Canary Island,20/06/2017,2017,6,11.76,0.45,Gran Canaria,"28°01'54.0""N ","15°23'43.3""W",Full access,Far,
201,Phorcus sauciatus,Canary Island,20/06/2017,2017,6,18.69,2.06,Gran Canaria,"28°01'54.0""N ","15°23'43.3""W",Full access,Far,
202,Phorcus sauciatus,Canary Island,20/06/2017,2017,6,18.51,1.84,Gran Canaria,"28°01'54.0""N ","15°23'43.3""W",Full access,Far,
203,Phorcus sauciatus,Canary Island,20/06/2017,2017,6,12.11,0.55,Gran Canaria,"28°01'54.0""N ","15°23'43.3""W",Full access,Far,
204,Phorcus sauciatus,Canary Island,20/06/2017,2017,6,11.47,0.52,Gran Canaria,"28°01'54.0""N ","15°23'43.3""W",Full access,Far,
205,Phorcus sauciatus,Canary Island,20/06/2017,2017,6,20.04,2.4,Gran Canaria,"28°01'54.0""N ","15°23'43.3""W",Full access,Far,
206,Phorcus sauciatus,Canary Island,20/06/2017,2017,6,18.26,1.59,Gran Canaria,"28°01'54.0""N ","15°23'43.3""W",Full access,Far,
207,Phorcus sauciatus,Canary Island,20/06/2017,2017,6,11.85,0.43,Gran Canaria,"28°01'54.0""N ","15°23'43.3""W",Full access,Far,
208,Phorcus sauciatus,Canary Island,20/06/2017,2017,6,11.37,0.46,Gran Canaria,"28°01'54.0""N ","15°23'43.3""W",Full access,Far,
209,Phorcus sauciatus,Canary Island,20/06/2017,2017,6,17.54,1.73,Gran Canaria,"28°01'54.0""N ","15°23'43.3""W",Full access,Far,
210,Phorcus sauciatus,Canary Island,20/06/2017,2017,6,19.22,1.98,Gran Canaria,"28°01'54.0""N ","15°23'43.3""W",Full access,Far,
211,Phorcus sauciatus,Canary Island,20/06/2017,2017,6,19.8,2.75,Gran Canaria,"28°01'54.0""N ","15°23'43.3""W",Full access,Far,
212,Phorcus sauciatus,Canary Island,20/06/2017,2017,6,13.35,0.61,Gran Canaria,"28°01'54.0""N ","15°23'43.3""W",Full access,Far,
213,Phorcus sauciatus,Canary Island,20/06/2017,2017,6,20.93,2.91,Gran Canaria,"28°01'54.0""N ","15°23'43.3""W",Full access,Far,
214,Phorcus sauciatus,Canary Island,20/06/2017,2017,6,20.06,2.49,Gran Canaria,"28°01'54.0""N ","15°23'43.3""W",Full access,Far,
215,Phorcus sauciatus,Canary Island,20/06/2017,2017,6,10.03,0.28,Gran Canaria,"28°01'54.0""N ","15°23'43.3""W",Full access,Far,
216,Phorcus sauciatus,Canary Island,20/06/2017,2017,6,14.19,0.79,Gran Canaria,"28°01'54.0""N ","15°23'43.3""W",Full access,Far,
217,Phorcus sauciatus,Canary Island,20/06/2017,2017,6,18.11,1.76,Gran Canaria,"28°01'54.0""N ","15°23'43.3""W",Full access,Far,
218,Phorcus sauciatus,Canary Island,20/06/2017,2017,6,15.26,0.92,Gran Canaria,"28°01'54.0""N ","15°23'43.3""W",Full access,Far,
219,Phorcus sauciatus,Canary Island,20/06/2017,2017,6,14.61,0.9,Gran Canaria,"28°01'54.0""N ","15°23'43.3""W",Full access,Far,
220,Phorcus sauciatus,Canary Island,20/06/2017,2017,6,13.81,0.79,Gran Canaria,"28°01'54.0""N ","15°23'43.3""W",Full access,Far,
221,Phorcus sauciatus,Canary Island,20/06/2017,2017,6,14.56,1.02,Gran Canaria,"28°01'54.0""N ","15°23'43.3""W",Full access,Far,
222,Phorcus sauciatus,Canary Island,20/06/2017,2017,6,12.87,0.61,Gran Canaria,"28°01'54.0""N ","15°23'43.3""W",Full access,Far,
223,Phorcus sauciatus,Canary Island,20/06/2017,2017,6,19.46,2.3,Gran Canaria,"28°01'54.0""N ","15°23'43.3""W",Full access,Far,
224,Phorcus sauciatus,Canary Island,20/06/2017,2017,6,14.41,0.85,Gran Canaria,"28°01'54.0""N ","15°23'43.3""W",Full access,Far,
225,Phorcus sauciatus,Canary Island,20/06/2017,2017,6,17.92,1.71,Gran Canaria,"28°01'54.0""N ","15°23'43.3""W",Full access,Far,
226,Phorcus sauciatus,Canary Island,20/06/2017,2017,6,17.64,1.62,Gran Canaria,"28°01'54.0""N ","15°23'43.3""W",Full access,Far,
227,Phorcus sauciatus,Canary Island,20/06/2017,2017,6,18.96,2.1,Gran Canaria,"28°01'54.0""N ","15°23'43.3""W",Full access,Far,
228,Phorcus sauciatus,Canary Island,20/06/2017,2017,6,17.83,1.73,Gran Canaria,"28°01'54.0""N ","15°23'43.3""W",Full access,Far,
229,Phorcus sauciatus,Canary Island,20/06/2017,2017,6,15.77,1.1,Gran Canaria,"28°01'54.0""N ","15°23'43.3""W",Full access,Far,
230,Phorcus sauciatus,Canary Island,20/06/2017,2017,6,14.55,1.14,Gran Canaria,"28°01'54.0""N ","15°23'43.3""W",Full access,Far,
231,Phorcus sauciatus,Canary Island,20/06/2017,2017,6,15.08,0.83,Gran Canaria,"28°01'54.0""N ","15°23'43.3""W",Full access,Far,
232,Phorcus sauciatus,Canary Island,20/06/2017,2017,6,17.97,1.8,Gran Canaria,"28°01'54.0""N ","15°23'43.3""W",Full access,Far,
233,Phorcus sauciatus,Canary Island,20/06/2017,2017,6,18.67,1.93,Gran Canaria,"28°01'54.0""N ","15°23'43.3""W",Full access,Far,
234,Phorcus sauciatus,Canary Island,20/06/2017,2017,6,20.94,2.92,Gran Canaria,"28°01'54.0""N ","15°23'43.3""W",Full access,Far,
235,Phorcus sauciatus,Canary Island,20/06/2017,2017,6,17.37,1.7,Gran Canaria,"28°01'54.0""N ","15°23'43.3""W",Full access,Far,
236,Phorcus sauciatus,Canary Island,20/06/2017,2017,6,19.34,2.21,Gran Canaria,"28°01'54.0""N ","15°23'43.3""W",Full access,Far,
237,Phorcus sauciatus,Canary Island,20/06/2017,2017,6,18.77,2.1,Gran Canaria,"28°01'54.0""N ","15°23'43.3""W",Full access,Far,
238,Phorcus sauciatus,Canary Island,20/06/2017,2017,6,16.83,1.35,Gran Canaria,"28°01'54.0""N ","15°23'43.3""W",Full access,Far,
239,Phorcus sauciatus,Canary Island,20/06/2017,2017,6,18.71,1.99,Gran Canaria,"28°01'54.0""N ","15°23'43.3""W",Full access,Far,
240,Phorcus sauciatus,Canary Island,20/06/2017,2017,6,15.92,0.98,Gran Canaria,"28°01'54.0""N ","15°23'43.3""W",Full access,Far,
241,Phorcus sauciatus,Canary Island,20/06/2017,2017,6,17.06,1.4,Gran Canaria,"28°01'54.0""N ","15°23'43.3""W",Full access,Far,
242,Phorcus sauciatus,Canary Island,20/06/2017,2017,6,15.71,1.16,Gran Canaria,"28°01'54.0""N ","15°23'43.3""W",Full access,Far,
243,Phorcus sauciatus,Canary Island,20/06/2017,2017,6,9.15,0.26,Gran Canaria,"28°01'54.0""N ","15°23'43.3""W",Full access,Far,
244,Phorcus sauciatus,Canary Island,20/06/2017,2017,6,10.08,0.35,Gran Canaria,"28°01'54.0""N ","15°23'43.3""W",Full access,Far,
245,Phorcus sauciatus,Canary Island,20/06/2017,2017,6,13.17,0.66,Gran Canaria,"28°01'54.0""N ","15°23'43.3""W",Full access,Far,
246,Phorcus sauciatus,Canary Island,20/06/2017,2017,6,11.64,0.47,Gran Canaria,"28°01'54.0""N ","15°23'43.3""W",Full access,Far,
247,Phorcus sauciatus,Canary Island,20/06/2017,2017,6,13.92,0.81,Gran Canaria,"28°01'54.0""N ","15°23'43.3""W",Full access,Far,
248,Phorcus sauciatus,Canary Island,20/06/2017,2017,6,12.77,0.6,Gran Canaria,"28°01'54.0""N ","15°23'43.3""W",Full access,Far,
249,Phorcus sauciatus,Canary Island,20/06/2017,2017,6,13.78,0.72,Gran Canaria,"28°01'54.0""N ","15°23'43.3""W",Full access,Far,
250,Phorcus sauciatus,Canary Island,20/06/2017,2017,6,12.96,0.66,Gran Canaria,"28°01'54.0""N ","15°23'43.3""W",Full access,Far,
251,Phorcus sauciatus,Canary Island,20/06/2017,2017,6,12.49,0.67,Gran Canaria,"28°01'54.0""N ","15°23'43.3""W",Full access,Far,
252,Phorcus sauciatus,Canary Island,20/06/2017,2017,6,19.25,2.23,Gran Canaria,"28°01'54.0""N ","15°23'43.3""W",Full access,Far,
253,Phorcus sauciatus,Canary Island,20/06/2017,2017,6,20.48,2.69,Gran Canaria,"28°01'54.0""N ","15°23'43.3""W",Full access,Far,
254,Phorcus sauciatus,Canary Island,20/06/2017,2017,6,19.1,2.17,Gran Canaria,"28°01'54.0""N ","15°23'43.3""W",Full access,Far,
255,Phorcus sauciatus,Canary Island,20/06/2017,2017,6,19.2,1.92,Gran Canaria,"28°01'54.0""N ","15°23'43.3""W",Full access,Far,
256,Phorcus sauciatus,Canary Island,20/06/2017,2017,6,13.97,0.83,Gran Canaria,"28°01'54.0""N ","15°23'43.3""W",Full access,Far,
257,Phorcus sauciatus,Canary Island,20/06/2017,2017,6,20.59,2.4,Gran Canaria,"28°01'54.0""N ","15°23'43.3""W",Full access,Far,
258,Phorcus sauciatus,Canary Island,20/06/2017,2017,6,20.15,2.63,Gran Canaria,"28°01'54.0""N ","15°23'43.3""W",Full access,Far,
259,Phorcus sauciatus,Canary Island,20/06/2017,2017,6,19.64,2.17,Gran Canaria,"28°01'54.0""N ","15°23'43.3""W",Full access,Far,
260,Phorcus sauciatus,Canary Island,20/06/2017,2017,6,16.34,1.2,Gran Canaria,"28°01'54.0""N ","15°23'43.3""W",Full access,Far,
261,Phorcus sauciatus,Canary Island,20/06/2017,2017,6,16.74,1.67,Gran Canaria,"28°01'54.0""N ","15°23'43.3""W",Full access,Far,
262,Phorcus sauciatus,Canary Island,20/06/2017,2017,6,18.23,2.09,Gran Canaria,"28°01'54.0""N ","15°23'43.3""W",Full access,Far,
263,Phorcus sauciatus,Canary Island,20/06/2017,2017,6,18.27,1.73,Gran Canaria,"28°01'54.0""N ","15°23'43.3""W",Full access,Far,
264,Phorcus sauciatus,Canary Island,20/06/2017,2017,6,17.42,1.38,Gran Canaria,"28°01'54.0""N ","15°23'43.3""W",Full access,Far,
265,Phorcus sauciatus,Canary Island,20/06/2017,2017,6,17.29,1.57,Gran Canaria,"28°01'54.0""N ","15°23'43.3""W",Full access,Far,
266,Phorcus sauciatus,Canary Island,20/06/2017,2017,6,18.13,1.72,Gran Canaria,"28°01'54.0""N ","15°23'43.3""W",Full access,Far,
267,Phorcus sauciatus,Canary Island,20/06/2017,2017,6,16.61,1.25,Gran Canaria,"28°01'54.0""N ","15°23'43.3""W",Full access,Far,
268,Phorcus sauciatus,Canary Island,20/06/2017,2017,6,10.93,0.37,Gran Canaria,"28°01'54.0""N ","15°23'43.3""W",Full access,Far,
269,Phorcus sauciatus,Canary Island,20/06/2017,2017,6,13.65,0.68,Gran Canaria,"28°01'54.0""N ","15°23'43.3""W",Full access,Far,
270,Phorcus sauciatus,Canary Island,20/06/2017,2017,6,12.9,0.57,Gran Canaria,"28°01'54.0""N ","15°23'43.3""W",Full access,Far,
271,Phorcus sauciatus,Canary Island,20/06/2017,2017,6,13.04,0.6,Gran Canaria,"28°01'54.0""N ","15°23'43.3""W",Full access,Far,
272,Phorcus sauciatus,Canary Island,20/06/2017,2017,6,14.52,0.92,Gran Canaria,"28°01'54.0""N ","15°23'43.3""W",Full access,Far,
273,Phorcus sauciatus,Canary Island,20/06/2017,2017,6,14.35,0.79,Gran Canaria,"28°01'54.0""N ","15°23'43.3""W",Full access,Far,
274,Phorcus sauciatus,Canary Island,20/06/2017,2017,6,15.74,1.08,Gran Canaria,"28°01'54.0""N ","15°23'43.3""W",Full access,Far,
275,Phorcus sauciatus,Canary Island,20/06/2017,2017,6,17.79,1.71,Gran Canaria,"28°01'54.0""N ","15°23'43.3""W",Full access,Far,
276,Phorcus sauciatus,Canary Island,20/06/2017,2017,6,18.96,1.89,Gran Canaria,"28°01'54.0""N ","15°23'43.3""W",Full access,Far,
277,Phorcus sauciatus,Canary Island,20/06/2017,2017,6,19.09,1.02,Gran Canaria,"28°01'54.0""N ","15°23'43.3""W",Full access,Far,
278,Phorcus sauciatus,Canary Island,20/06/2017,2017,6,19.62,2.42,Gran Canaria,"28°01'54.0""N ","15°23'43.3""W",Full access,Far,
279,Phorcus sauciatus,Canary Island,20/06/2017,2017,6,16.71,1.34,Gran Canaria,"28°01'54.0""N ","15°23'43.3""W",Full access,Far,
280,Phorcus sauciatus,Canary Island,20/06/2017,2017,6,18.14,1.92,Gran Canaria,"28°01'54.0""N ","15°23'43.3""W",Full access,Far,
281,Phorcus sauciatus,Canary Island,20/06/2017,2017,6,16.34,1.34,Gran Canaria,"28°01'54.0""N ","15°23'43.3""W",Full access,Far,
282,Phorcus sauciatus,Canary Island,20/06/2017,2017,6,16.77,1.68,Gran Canaria,"28°01'54.0""N ","15°23'43.3""W",Full access,Far,
283,Phorcus sauciatus,Canary Island,20/06/2017,2017,6,20.19,2.27,Gran Canaria,"28°01'54.0""N ","15°23'43.3""W",Full access,Far,
284,Phorcus sauciatus,Canary Island,20/06/2017,2017,6,19.04,2.2,Gran Canaria,"28°01'54.0""N ","15°23'43.3""W",Full access,Far,
285,Phorcus sauciatus,Canary Island,20/06/2017,2017,6,18.68,2.03,Gran Canaria,"28°01'54.0""N ","15°23'43.3""W",Full access,Far,
286,Phorcus sauciatus,Canary Island,20/06/2017,2017,6,15.97,1.28,Gran Canaria,"28°01'54.0""N ","15°23'43.3""W",Full access,Far,
287,Phorcus sauciatus,Canary Island,20/06/2017,2017,6,17.79,1.64,Gran Canaria,"28°01'54.0""N ","15°23'43.3""W",Full access,Far,
288,Phorcus sauciatus,Canary Island,20/06/2017,2017,6,17.32,1.52,Gran Canaria,"28°01'54.0""N ","15°23'43.3""W",Full access,Far,
289,Phorcus sauciatus,Canary Island,20/06/2017,2017,6,16.26,1.37,Gran Canaria,"28°01'54.0""N ","15°23'43.3""W",Full access,Far,
290,Phorcus sauciatus,Canary Island,20/06/2017,2017,6,16.7,1.42,Gran Canaria,"28°01'54.0""N ","15°23'43.3""W",Full access,Far,
291,Phorcus sauciatus,Canary Island,20/06/2017,2017,6,19.04,2.08,Gran Canaria,"28°01'54.0""N ","15°23'43.3""W",Full access,Far,
292,Phorcus sauciatus,Canary Island,20/06/2017,2017,6,16.67,1.25,Gran Canaria,"28°01'54.0""N ","15°23'43.3""W",Full access,Far,
293,Phorcus sauciatus,Canary Island,20/06/2017,2017,6,16.08,1.08,Gran Canaria,"28°01'54.0""N ","15°23'43.3""W",Full access,Far,
294,Phorcus sauciatus,Canary Island,20/06/2017,2017,6,15.65,0.98,Gran Canaria,"28°01'54.0""N ","15°23'43.3""W",Full access,Far,
295,Phorcus sauciatus,Canary Island,20/06/2017,2017,6,16.32,1.11,Gran Canaria,"28°01'54.0""N ","15°23'43.3""W",Full access,Far,
296,Phorcus sauciatus,Canary Island,20/06/2017,2017,6,19.63,2.2,Gran Canaria,"28°01'54.0""N ","15°23'43.3""W",Full access,Far,
297,Phorcus sauciatus,Canary Island,20/06/2017,2017,6,17.18,1.55,Gran Canaria,"28°01'54.0""N ","15°23'43.3""W",Full access,Far,
298,Phorcus sauciatus,Canary Island,20/06/2017,2017,6,15.65,1.13,Gran Canaria,"28°01'54.0""N ","15°23'43.3""W",Full access,Far,
299,Phorcus sauciatus,Canary Island,20/06/2017,2017,6,16.35,1.25,Gran Canaria,"28°01'54.0""N ","15°23'43.3""W",Full access,Far,
300,Phorcus sauciatus,Canary Island,20/06/2017,2017,6,16.34,1.26,Gran Canaria,"28°01'54.0""N ","15°23'43.3""W",Full access,Far,
301,Phorcus sauciatus,Canary Island,20/06/2017,2017,6,12.97,0.71,Gran Canaria,"28°01'54.0""N ","15°23'43.3""W",Full access,Far,
302,Phorcus sauciatus,Canary Island,20/06/2017,2017,6,15.49,1.06,Gran Canaria,"28°01'54.0""N ","15°23'43.3""W",Full access,Far,
303,Phorcus sauciatus,Canary Island,20/06/2017,2017,6,17.87,1.58,Gran Canaria,"28°01'54.0""N ","15°23'43.3""W",Full access,Far,
304,Phorcus sauciatus,Canary Island,20/06/2017,2017,6,17.94,1.76,Gran Canaria,"28°01'54.0""N ","15°23'43.3""W",Full access,Far,
305,Phorcus sauciatus,Canary Island,20/06/2017,2017,6,15.01,1.02,Gran Canaria,"28°01'54.0""N ","15°23'43.3""W",Full access,Far,
306,Phorcus sauciatus,Canary Island,20/06/2017,2017,6,16.54,1.31,Gran Canaria,"28°01'54.0""N ","15°23'43.3""W",Full access,Far,
307,Phorcus sauciatus,Canary Island,20/06/2017,2017,6,17.3,1.38,Gran Canaria,"28°01'54.0""N ","15°23'43.3""W",Full access,Far,
308,Phorcus sauciatus,Canary Island,20/06/2017,2017,6,18.83,1.96,Gran Canaria,"28°01'54.0""N ","15°23'43.3""W",Full access,Far,
309,Phorcus sauciatus,Canary Island,20/06/2017,2017,6,15.84,1.31,Gran Canaria,"28°01'54.0""N ","15°23'43.3""W",Full access,Far,
310,Phorcus sauciatus,Canary Island,20/06/2017,2017,6,15.81,1.26,Gran Canaria,"28°01'54.0""N ","15°23'43.3""W",Full access,Far,
311,Phorcus sauciatus,Canary Island,20/06/2017,2017,6,14.36,0.96,Gran Canaria,"28°01'54.0""N ","15°23'43.3""W",Full access,Far,
312,Phorcus sauciatus,Canary Island,20/06/2017,2017,6,14.68,0.95,Gran Canaria,"28°01'54.0""N ","15°23'43.3""W",Full access,Far,
313,Phorcus sauciatus,Canary Island,20/06/2017,2017,6,14.68,0.92,Gran Canaria,"28°01'54.0""N ","15°23'43.3""W",Full access,Far,
314,Phorcus sauciatus,Canary Island,20/06/2017,2017,6,14.53,0.92,Gran Canaria,"28°01'54.0""N ","15°23'43.3""W",Full access,Far,
315,Phorcus sauciatus,Canary Island,20/06/2017,2017,6,17.16,1.44,Gran Canaria,"28°01'54.0""N ","15°23'43.3""W",Full access,Far,
316,Phorcus sauciatus,Canary Island,20/06/2017,2017,6,15.11,0.96,Gran Canaria,"28°01'54.0""N ","15°23'43.3""W",Full access,Far,
317,Phorcus sauciatus,Canary Island,20/06/2017,2017,6,15.68,1.01,Gran Canaria,"28°01'54.0""N ","15°23'43.3""W",Full access,Far,
318,Phorcus sauciatus,Canary Island,20/06/2017,2017,6,13.95,0.79,Gran Canaria,"28°01'54.0""N ","15°23'43.3""W",Full access,Far,
319,Phorcus sauciatus,Canary Island,20/06/2017,2017,6,15.09,0.82,Gran Canaria,"28°01'54.0""N ","15°23'43.3""W",Full access,Far,
320,Phorcus sauciatus,Canary Island,20/06/2017,2017,6,13.68,0.86,Gran Canaria,"28°01'54.0""N ","15°23'43.3""W",Full access,Far,
321,Phorcus sauciatus,Canary Island,20/06/2017,2017,6,18.09,1.85,Gran Canaria,"28°01'54.0""N ","15°23'43.3""W",Full access,Far,
322,Phorcus sauciatus,Canary Island,20/06/2017,2017,6,16.42,1.5,Gran Canaria,"28°01'54.0""N ","15°23'43.3""W",Full access,Far,
323,Phorcus sauciatus,Canary Island,20/06/2017,2017,6,19.54,2.49,Gran Canaria,"28°01'54.0""N ","15°23'43.3""W",Full access,Far,
324,Phorcus sauciatus,Canary Island,20/06/2017,2017,6,17.65,1.89,Gran Canaria,"28°01'54.0""N ","15°23'43.3""W",Full access,Far,
325,Phorcus sauciatus,Canary Island,20/06/2017,2017,6,17.94,1.65,Gran Canaria,"28°01'54.0""N ","15°23'43.3""W",Full access,Far,
326,Phorcus sauciatus,Canary Island,20/06/2017,2017,6,21.1,2.62,Gran Canaria,"28°01'54.0""N ","15°23'43.3""W",Full access,Far,
327,Phorcus sauciatus,Canary Island,20/06/2017,2017,6,18.1,1.6,Gran Canaria,"28°01'54.0""N ","15°23'43.3""W",Full access,Far,
328,Phorcus sauciatus,Canary Island,20/06/2017,2017,6,19.55,2.2,Gran Canaria,"28°01'54.0""N ","15°23'43.3""W",Full access,Far,
329,Phorcus sauciatus,Canary Island,20/06/2017,2017,6,17.74,1.45,Gran Canaria,"28°01'54.0""N ","15°23'43.3""W",Full access,Far,
330,Phorcus sauciatus,Canary Island,20/06/2017,2017,6,18.48,1.83,Gran Canaria,"28°01'54.0""N ","15°23'43.3""W",Full access,Far,
331,Phorcus sauciatus,Canary Island,20/06/2017,2017,6,18.39,1.87,Gran Canaria,"28°01'54.0""N ","15°23'43.3""W",Full access,Far,
332,Phorcus sauciatus,Canary Island,20/06/2017,2017,6,18.02,1.85,Gran Canaria,"28°01'54.0""N ","15°23'43.3""W",Full access,Far,
333,Phorcus sauciatus,Canary Island,20/06/2017,2017,6,18.96,1.86,Gran Canaria,"28°01'54.0""N ","15°23'43.3""W",Full access,Far,
334,Phorcus sauciatus,Canary Island,20/06/2017,2017,6,18.77,1.96,Gran Canaria,"28°01'54.0""N ","15°23'43.3""W",Full access,Far,
335,Phorcus sauciatus,Canary Island,20/06/2017,2017,6,19.27,2.42,Gran Canaria,"28°01'54.0""N ","15°23'43.3""W",Full access,Far,
336,Phorcus sauciatus,Canary Island,20/06/2017,2017,6,17.95,1.54,Gran Canaria,"28°01'54.0""N ","15°23'43.3""W",Full access,Far,
337,Phorcus sauciatus,Canary Island,20/06/2017,2017,6,18.84,1.99,Gran Canaria,"28°01'54.0""N ","15°23'43.3""W",Full access,Far,
338,Phorcus sauciatus,Canary Island,20/06/2017,2017,6,17.73,1.42,Gran Canaria,"28°01'54.0""N ","15°23'43.3""W",Full access,Far,
339,Phorcus sauciatus,Canary Island,20/06/2017,2017,6,16.57,1.25,Gran Canaria,"28°01'54.0""N ","15°23'43.3""W",Full access,Far,
340,Phorcus sauciatus,Canary Island,20/06/2017,2017,6,18.4,1.64,Gran Canaria,"28°01'54.0""N ","15°23'43.3""W",Full access,Far,
341,Phorcus sauciatus,Canary Island,20/06/2017,2017,6,19.13,2.27,Gran Canaria,"28°01'54.0""N ","15°23'43.3""W",Full access,Far,
342,Phorcus sauciatus,Canary Island,20/06/2017,2017,6,17.35,1.46,Gran Canaria,"28°01'54.0""N ","15°23'43.3""W",Full access,Far,
343,Phorcus sauciatus,Canary Island,20/06/2017,2017,6,19.09,1.75,Gran Canaria,"28°01'54.0""N ","15°23'43.3""W",Full access,Far,
344,Phorcus sauciatus,Canary Island,20/06/2017,2017,6,16.83,1.38,Gran Canaria,"28°01'54.0""N ","15°23'43.3""W",Full access,Far,
345,Phorcus sauciatus,Canary Island,20/06/2017,2017,6,15.23,0.92,Gran Canaria,"28°01'54.0""N ","15°23'43.3""W",Full access,Far,
346,Phorcus sauciatus,Canary Island,20/06/2017,2017,6,16.45,1.25,Gran Canaria,"28°01'54.0""N ","15°23'43.3""W",Full access,Far,
347,Phorcus sauciatus,Canary Island,20/06/2017,2017,6,16.64,1.34,Gran Canaria,"28°01'54.0""N ","15°23'43.3""W",Full access,Far,
348,Phorcus sauciatus,Canary Island,20/06/2017,2017,6,18.13,1.75,Gran Canaria,"28°01'54.0""N ","15°23'43.3""W",Full access,Far,
349,Phorcus sauciatus,Canary Island,20/06/2017,2017,6,16.56,1.29,Gran Canaria,"28°01'54.0""N ","15°23'43.3""W",Full access,Far,
350,Phorcus sauciatus,Canary Island,20/06/2017,2017,6,16.76,1.38,Gran Canaria,"28°01'54.0""N ","15°23'43.3""W",Full access,Far,
351,Phorcus sauciatus,Canary Island,20/06/2017,2017,6,16.89,1.52,Gran Canaria,"28°01'54.0""N ","15°23'43.3""W",Full access,Far,
352,Phorcus sauciatus,Canary Island,20/06/2017,2017,6,18.36,1.79,Gran Canaria,"28°01'54.0""N ","15°23'43.3""W",Full access,Far,
353,Phorcus sauciatus,Canary Island,20/06/2017,2017,6,18.56,1.76,Gran Canaria,"28°01'54.0""N ","15°23'43.3""W",Full access,Far,
354,Phorcus sauciatus,Canary Island,20/06/2017,2017,6,17.75,1.57,Gran Canaria,"28°01'54.0""N ","15°23'43.3""W",Full access,Far,
355,Phorcus sauciatus,Canary Island,20/06/2017,2017,6,18.49,1.66,Gran Canaria,"28°01'54.0""N ","15°23'43.3""W",Full access,Far,
356,Phorcus sauciatus,Canary Island,20/06/2017,2017,6,18.28,1.12,Gran Canaria,"28°01'54.0""N ","15°23'43.3""W",Full access,Far,
357,Phorcus sauciatus,Canary Island,20/06/2017,2017,6,15.21,0.82,Gran Canaria,"28°01'54.0""N ","15°23'43.3""W",Full access,Far,
358,Phorcus sauciatus,Canary Island,20/06/2017,2017,6,14.01,0.84,Gran Canaria,"28°01'54.0""N ","15°23'43.3""W",Full access,Far,
359,Phorcus sauciatus,Canary Island,20/06/2017,2017,6,14.83,0.9,Gran Canaria,"28°01'54.0""N ","15°23'43.3""W",Full access,Far,
360,Phorcus sauciatus,Canary Island,20/06/2017,2017,6,14.32,1.68,Gran Canaria,"28°01'54.0""N ","15°23'43.3""W",Full access,Far,
